lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05412,-34.95746,-102.7,-99.21,-90.27285714285709,-103.37583333333299,-101.565,-95.2242857142857,-63.55,-88.874,-87.02,6,6,1,7595
-8.05567,-34.95387,-89.53,-96.1742857142857,-91.80857142857141,-98.9783333333333,-94.97,-94.8442857142857,-75.88,-71.778,-92.2175,6,5,2,6990
-8.04842,-34.94697,-99.41857142857141,-88.79476190476191,-97.515,-80.0,-99.9125,-104.54,-96.5633333333333,-101.648,-96.56,3,2,6,9261
-8.05845,-34.94983,-101.02,-92.9457142857143,-93.5628571428571,-97.56,-76.4875,-81.7642857142857,-99.67,-92.59,-96.2325,7,4,4,6700
-8.05058,-34.95324,-85.01,-95.33142857142859,-84.05875,-93.3216666666667,-95.135,-93.71285714285709,-91.6633333333333,-100.91,-98.2875,3,4,3,8653
-8.05012,-34.953720000000004,-79.01,-96.03785714285709,-77.57,-95.905,-98.5125,-96.90142857142858,-89.18,-97.054,-99.62,3,4,3,8787
-8.05436,-34.95411,-89.29428571428569,-96.6671428571429,-97.8,-98.3,-89.27,-88.47,-94.125,-97.15,-96.55,5,4,2,7538
-8.05056,-34.9534,-83.7,-94.28142857142859,-80.01,-95.78,-95.135,-93.21142857142858,-91.8233333333333,-96.14200000000001,-98.18,3,4,3,8662
-8.04952,-34.94744,-96.58,-87.77285714285709,-96.3571428571429,-79.71,-92.7425,-97.0571428571428,-91.1766666666667,-96.186,-98.9125,4,2,6,8926
-8.048060000000001,-34.94762,-95.29,-80.05714285714281,-93.99357142857141,-89.45,-96.65,-99.79142857142858,-107.42,-102.064,-94.4075,3,3,6,9366
-8.05475,-34.94652,-79.61,-82.29071428571429,-78.42,-61.04,-59.92,-72.72428571428571,-89.4516666666667,-88.616,-97.255,6,1,5,7425
-8.0495,-34.94755,-97.65,-87.77285714285709,-96.3571428571429,-91.7,-92.7425,-94.08,-91.9466666666667,-96.186,-98.9125,4,2,6,8935
