lat,lon,rssi_1_1,rssi_2_1,rssi_3_1
-8.05922975609756,-34.95347594594595,-88.79943105187064,-83.18126393389056,-74.26221243528008
-8.05922975609756,-34.953077567567576,-88.76997765453774,-82.74219349865731,-74.99683682105237
-8.05922975609756,-34.95267918918919,-88.74964550953229,-82.2974436060914,-75.71931213757662
-8.05922975609756,-34.95228081081081,-88.73851090892083,-81.8476743001346,-76.42668281634147
-8.05922975609756,-34.951882432432434,-88.73661584230291,-81.39372820910302,-77.1170345214716
-8.05922975609756,-34.951484054054056,-88.74396747095233,-80.93666331571652,-77.78922893538493
-8.05922975609756,-34.95108567567568,-88.7605380378327,-80.47778939804908,-78.44269719083988
-8.05922975609756,-34.9506872972973,-88.78626521589638,-80.01870759014545,-79.07728194955988
-8.05922975609756,-34.95028891891892,-88.82105288543812,-79.56135193259124,-79.69311827978942
-8.05922975609756,-34.94989054054055,-88.86477232038027,-79.1080309796152,-80.29054470605871
-8.05922975609756,-34.94949216216217,-88.9172637529839,-78.66146647120402,-80.87003733186842
-8.05922975609756,-34.94909378378379,-88.97833827771214,-78.22482477484951,-81.43216140654664
-8.05922975609756,-34.948695405405395,-89.0477800477241,-77.80173532375395,-81.97753597747419
-8.05922975609756,-34.948297027027024,-89.12534871215883,-77.39628880783627,-82.50680830341116
-8.05922975609756,-34.947898648648646,-89.21078203910292,-77.01300673609569,-83.02063551890723
-8.05922975609756,-34.94750027027027,-89.303798667806,-76.65677367712064,-83.51967166737856
-8.05922975609756,-34.94710189189189,-89.40410093442159,-76.33272462278799,-84.00455869609101
-8.05922975609756,-34.94670351351351,-89.51137771787393,-76.04608314036423,-84.47592036584342
-8.05922975609756,-34.946305135135134,-89.62530725633346,-75.80195167057161,-84.93435829655184
-8.05922975609756,-34.94590675675676,-89.74555988982402,-75.60506330681983,-85.38044956925222
-8.05922975609756,-34.94550837837838,-89.87180069026599,-75.45951357632683,-85.81474545593761
-8.058909512195122,-34.95985,-90.10257789350581,-89.16715082766112,-68.87627082502621
-8.058909512195122,-34.959451621621625,-89.95360990181192,-88.8316111814718,-68.23951638041993
-8.058909512195122,-34.959053243243254,-89.80954890187616,-88.48955341332558,-67.70677213522698
-8.058909512195122,-34.95865486486487,-89.67074988167568,-88.14079714977831,-67.30622564053417
-8.058909512195122,-34.95825648648649,-89.5375712645567,-87.78516281047774,-67.06243644207309
-8.058909512195122,-34.95785810810811,-89.41037272596341,-87.42247336096659,-66.99192831547398
-8.058909512195122,-34.95745972972973,-89.28951278423392,-87.05255650240315,-67.09971742849865
-8.058909512195122,-34.95706135135136,-89.17534618210917,-86.67524739202614,-67.37817914965967
-8.058909512195122,-34.95666297297298,-89.06822108308123,-86.29039200784345,-67.80875599881077
-8.058909512195122,-34.9562645945946,-88.968476114581,-85.89785129465315,-68.36575736337711
-8.058909512195122,-34.95586621621621,-88.87643729748041,-85.49750625455624,-69.02076783067757
-8.058909512195122,-34.95546783783784,-88.79241490898005,-85.08926417862222,-69.7463374479864
-8.058909512195122,-34.95506945945946,-88.71670033232607,-84.67306625175831,-70.518320424246
-8.058909512195122,-34.95467108108108,-88.64956295247131,-84.24889680612378,-71.3168918081969
