1,2,3,4,5,6,7,8
267.86,1388.22,267.86,14.42,827.23,267.35,234.2,685.6
17.64,750.83,17.64,15.51,761.64,13.84,13.84,637.66
82.17,702.12,82.17,36.47,342.28,9.44,9.44,1177.5
153.34,798.3,153.34,16.36,996.79,119.98,119.98,1258.24
46.05,535.65,46.05,33.12,369.68,36.62,15.67,646.54
30.04,637.81,30.04,16.04,549.77,15.88,15.88,846.87
119.21,865.93,119.21,41.12,345.55,6.61,6.61,900.65
27.91,1039.13,27.91,31.78,468.07,70.41,70.41,270.8
9.95,1356.74,9.95,58.69,454.9,5.21,5.21,1204.72
52.3,411.22,52.3,25.13,774.23,206.91,206.91,1303.77
25.35,1247.9,25.35,28.71,295.84,75.34,38.29,1260.75
